cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
27,Similarly / similarly / Likewise,"Similarly, similarly, Likewise, same",1,8.869764860719442e-06,8.869764860719442e-06,721,8.869764860719442e-06,clar_vocab2," same,  similarly, Similarly,  Similarly, Likewise",[721]
28,Boring / uninteresting / boring,"Boring, uninteresting, boring, bland",1,8.042585104703903e-06,8.042585104703903e-06,584,8.042585104703903e-06,"clar_vocab2,combined"," boring, Boring,  Boring,  uninteresting,  bland",[584]
13,optimum / optimize / optimale,"optimum, optimize, optimale, optimal, Optimal",1,5.607719067484141e-06,5.607719067484141e-06,666,5.607719067484141e-06,"clar_vocab2,combined"," optimal,  optimum,  Optimal,  optimize,  optimale",[666]
40,feedback / editing / corregir,"feedback, editing, corregir, correction, Feedback",1,3.2161111012101175e-06,3.2161111012101175e-06,182,3.2161111012101175e-06,"clar_vocab2,combined"," feedback,  correction,  corregir,  editing, Feedback",[182]
22,wiederum / lagi / again,"wiederum, lagi, again, Lagi, also",1,2.4029714986681937e-06,2.4029714986681937e-06,708,2.4029714986681937e-06,question," again,  lagi,  also,  Lagi,  wiederum",[708]
14,muerte / mourut / died,"muerte, mourut, died, death, Death",1,2.3439060896635056e-06,2.3439060896635056e-06,376,2.3439060896635056e-06,"combined,question"," death,  died,  mourut,  muerte,  Death",[376]
43,tagHelperRunner / franchise / characters,"tagHelperRunner, franchise, characters, Franchise, Characters",1,2.1665883250534533e-06,2.1665883250534533e-06,596,2.1665883250534533e-06,"clar_vocab2,combined"," characters,  Characters, tagHelperRunner,  franchise,  Franchise",[596]
44,two / numerous / many,"two, numerous, many, an, also",1,1.5819102991372348e-06,1.5819102991372348e-06,166,1.5819102991372348e-06,"clar_vocab2,question"," also,  numerous,  an,  two,  many",[166]
23,pcl / easily / clearly,"pcl, easily, clearly, <strong>, <code>",1,1.5167468227446079e-06,1.5167468227446079e-06,348,1.5167468227446079e-06,"combined,question"," clearly,  easily, <strong>, pcl, <code>",[348]
11,undeniable / unavoidable / inevitable,"undeniable, unavoidable, inevitable, inevit, indisputable",1,1.1027383152395488e-06,1.1027383152395488e-06,372,1.1027383152395488e-06,combined," inevitable,  undeniable,  indisputable,  inevit,  unavoidable",[372]
41,Athlete / athletes / Players,"Athlete, athletes, Players, Athletes",1,1.0451478883624077e-06,1.0451478883624077e-06,759,1.0451478883624077e-06,combined," Athletes,  athletes, Players, Athlete,  Athlete",[759]
12,wpdb / provider / afficheront,"wpdb, provider, afficheront",1,9.261630475521088e-07,9.261630475521088e-07,810,9.261630475521088e-07,combined," provider, wpdb, afficheront, 出版年,  ویکی‌پدیا",[810]
5,walkthrough / rinth / oa̍t,"walkthrough, rinth, oa̍t, ksamkeit, gebung",1,7.562092505395412e-07,7.562092505395412e-07,671,7.562092505395412e-07,clar_vocab2," walkthrough, ksamkeit, gebung, rinth, oa̍t",[671]
21,weighted / factor / doPost,"weighted, factor, doPost, Panamoan",1,6.908392533659935e-07,6.908392533659935e-07,247,6.908392533659935e-07,combined," weighted,  factor, Panamoan,  <<<<<<<<<<<<<<, doPost",[247]
17,Above / above / ThemeOverlay,"Above, above, ThemeOverlay, FormTagHelper",1,5.178549326956272e-07,5.178549326956272e-07,176,5.178549326956272e-07,"clar_vocab2,combined"," Above, FormTagHelper, Above, above, ThemeOverlay",[176]
34,or / AnimationsModule / <eos>,"or, AnimationsModule, <eos>",1,5.167212802916765e-07,5.167212802916765e-07,21,5.167212802916765e-07,"clar_vocab2,combined,question"," or,  /, <eos>, /, AnimationsModule",[21]
42,national / National / NATIONAL,"national, National, NATIONAL",1,4.67320904135704e-07,4.67320904135704e-07,457,4.67320904135704e-07,clar_vocab2," national,  National, National,  NATIONAL, national",[457]
16,thyst / chakras / aromatherapy,"thyst, chakras, aromatherapy, Wy, Revenir",1,3.9992551319301126e-07,3.9992551319301126e-07,58,3.9992551319301126e-07,"combined,question"," chakras, Revenir,  aromatherapy, thyst, Wy",[58]
15,simplify / simplifying / simplified,"simplify, simplifying, simplified, Simplify",1,1.724038738757372e-07,1.724038738757372e-07,549,1.724038738757372e-07,clar_vocab2,"simplify,  simplify,  Simplify,  simplifying, simplified",[549]
10,scoring / scores / score,"scoring, scores, score, scale, questionnaire",1,1.6819755546748639e-07,1.6819755546748639e-07,242,1.6819755546748639e-07,"clar_vocab2,combined"," scores,  score,  questionnaire,  scoring,  scale",[242]
20,tableware / containers / container,"tableware, containers, container, bowls, bowl",1,1.6819755546748639e-07,1.6819755546748639e-07,275,1.6819755546748639e-07,"combined,question"," containers,  tableware,  bowls,  container,  bowl",[275]
7,lists / list / collections,"lists, list, collections, collection, List",1,1.1099688708782196e-07,1.1099688708782196e-07,106,1.1099688708782196e-07,"clar_vocab2,combined,question"," list,  lists,  collections,  List,  collection",[106]
8,suburb / neighbourhoods / neighbourhood,"suburb, neighbourhoods, neighbourhood, neighborhoods, neighborhood",1,1.1099688708782196e-07,1.1099688708782196e-07,603,1.1099688708782196e-07,"combined,question"," neighborhoods,  neighbourhoods,  suburb,  neighborhood,  neighbourhood",[603]
6,brew / attn / ATT,"brew, attn, ATT",1,5.514943040907383e-08,5.514943040907383e-08,211,5.514943040907383e-08,"clar_vocab2,combined,question",", attn, ­, brew, ATT",[211]
19,verify / verified / inspect,"verify, verified, inspect, dug, confirm",1,5.464721471071243e-08,5.464721471071243e-08,579,5.464721471071243e-08,"combined,question"," inspect,  verified,  dug,  verify,  confirm",[579]
2,Garage / garages / garagem,"Garage, garages, garagem, garage",1,5.449447780847549e-08,5.449447780847549e-08,250,5.449447780847549e-08,clar_vocab2," garage,  Garage, Garage,  garages,  garagem",[250]
3,issued / coins / Coins,"issued, coins, Coins, Coin",1,5.449447780847549e-08,5.449447780847549e-08,387,5.449447780847549e-08,clar_vocab2," coins,  Coins, +#+#,  issued,  Coin",[387]
4,waste / Waste / WASTE,"waste, Waste, WASTE",1,5.449447780847549e-08,5.449447780847549e-08,83,5.449447780847549e-08,"combined,question"," waste,  WASTE,  Waste, Waste, waste",[83]
9,iteration / installment / inaugural,"iteration, installment, inaugural, fifth, edition",1,5.449447780847549e-08,5.449447780847549e-08,84,5.449447780847549e-08,"combined,question"," edition,  iteration,  installment,  inaugural,  fifth",[84]
