feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
94,1.1427799006924033e-05,1.1427799006924033e-05,question,"combined,question","{""question"": 1.1427799006924033e-05, ""combined"": 1.1427799006924033e-05}","[' mitigation', 'mapStateToProps', ' decision', ' consultants', ' project']",0
708,2.4029714986681937e-06,2.4029714986681937e-06,question,question,"{""question"": 2.4029714986681937e-06}","[' again', ' lagi', ' also', ' Lagi', ' wiederum']",0
166,1.5819102991372348e-06,1.5819102991372348e-06,clar_vocab2,"clar_vocab2,question","{""clar_vocab2"": 1.5819102991372348e-06, ""question"": 1.5819102991372348e-06}","[' also', ' numerous', ' an', ' two', ' many']",0
348,1.5167468227446079e-06,1.5167468227446079e-06,question,"combined,question","{""question"": 1.5167468227446079e-06, ""combined"": 1.5167468227446079e-06}","[' clearly', ' easily', '<strong>', 'pcl', '<code>']",0
671,7.562092505395412e-07,7.562092505395412e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 7.562092505395412e-07}","[' walkthrough', 'ksamkeit', 'gebung', 'rinth', 'oa̍t']",0
247,6.908392533659935e-07,6.908392533659935e-07,combined,combined,"{""combined"": 6.908392533659935e-07}","[' weighted', ' factor', 'Panamoan', ' <<<<<<<<<<<<<<', 'doPost']",0
21,5.167212802916765e-07,5.167212802916765e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 5.167212802916765e-07, ""question"": 5.167212802916765e-07, ""combined"": 5.167212802916765e-07}","[' or', ' /', '<eos>', '/', 'AnimationsModule']",0
457,4.67320904135704e-07,4.67320904135704e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.67320904135704e-07}","[' national', ' National', 'National', ' NATIONAL', 'national']",0
549,1.724038738757372e-07,1.724038738757372e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 1.724038738757372e-07}","['simplify', ' simplify', ' Simplify', ' simplifying', 'simplified']",0
106,1.1099688708782196e-07,1.1099688708782196e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 1.1099688708782196e-07, ""question"": 1.1099688708782196e-07, ""combined"": 1.1099688708782196e-07}","[' list', ' lists', ' collections', ' List', ' collection']",0
211,5.514943040907383e-08,5.514943040907383e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 5.514943040907383e-08, ""question"": 5.514943040907383e-08, ""combined"": 5.514943040907383e-08}","['\r', 'attn', '\xad', 'brew', 'ATT']",0
480,0.0003071726895868778,0.0003071726895868778,question,"combined,question","{""question"": 0.0003071726895868778, ""combined"": 0.0003071726895868778}","[' similar', ' other', ' same', ' another', 'same']",1
721,8.869764860719442e-06,8.869764860719442e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 8.869764860719442e-06}","[' same', ' similarly', 'Similarly', ' Similarly', 'Likewise']",1
176,5.178549326956272e-07,5.178549326956272e-07,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 5.178549326956272e-07, ""combined"": 5.178549326956272e-07}","[' Above', 'FormTagHelper', 'Above', 'above', 'ThemeOverlay']",1
711,0.0016523818820714951,0.0016523818820714951,question,"combined,question","{""question"": 0.0016523818820714951, ""combined"": 0.0016523818820714951}","[' simple', ' tiny', 'simple', ' piccoli', ' semplici']",2
229,0.001154655985534191,0.001154655985534191,question,"combined,question","{""question"": 0.001154655985534191, ""combined"": 0.001154655985534191}","[' global', ' worldwide', ' globally', ' weltweit', 'global']",2
565,0.0002120317332446575,0.0002120317332446575,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.0002120317332446575}","[' price', ' Price', ' priced', 'price', 'Price']",2
113,3.500085440464318e-05,3.500085440464318e-05,question,"combined,question","{""question"": 3.500085440464318e-05, ""combined"": 3.500085440464318e-05}","[' free', ' gratis', 'free', ' FREE', ' gratuite']",2
322,2.2506345994770524e-05,2.2506345994770524e-05,question,"combined,question","{""question"": 2.2506345994770524e-05, ""combined"": 2.2506345994770524e-05}","[' ongoing', ' Ongoing', '된', 'Displayed', ' pesky']",2
152,2.1366644650697707e-05,2.1366644650697707e-05,combined,combined,"{""combined"": 2.1366644650697707e-05}","[' experienced', 'experienced', 'Experienced', ' Experienced', '经验']",2
584,8.042585104703903e-06,8.042585104703903e-06,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 8.042585104703903e-06, ""combined"": 8.042585104703903e-06}","[' boring', 'Boring', ' Boring', ' uninteresting', ' bland']",2
666,5.607719067484141e-06,5.607719067484141e-06,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 5.607719067484141e-06, ""combined"": 5.607719067484141e-06}","[' optimal', ' optimum', ' Optimal', ' optimize', ' optimale']",2
182,3.2161111012101175e-06,3.2161111012101175e-06,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 3.2161111012101175e-06, ""combined"": 3.2161111012101175e-06}","[' feedback', ' correction', ' corregir', ' editing', 'Feedback']",2
376,2.3439060896635056e-06,2.3439060896635056e-06,question,"combined,question","{""question"": 2.3439060896635056e-06, ""combined"": 2.3439060896635056e-06}","[' death', ' died', ' mourut', ' muerte', ' Death']",2
372,1.1027383152395488e-06,1.1027383152395488e-06,combined,combined,"{""combined"": 1.1027383152395488e-06}","[' inevitable', ' undeniable', ' indisputable', ' inevit', ' unavoidable']",2
810,9.261630475521088e-07,9.261630475521088e-07,combined,combined,"{""combined"": 9.261630475521088e-07}","[' provider', 'wpdb', 'afficheront', '出版年', ' ویکی\u200cپدیا']",2
579,5.464721471071243e-08,5.464721471071243e-08,question,"combined,question","{""question"": 5.464721471071243e-08, ""combined"": 5.464721471071243e-08}","[' inspect', ' verified', ' dug', ' verify', ' confirm']",2
84,5.449447780847549e-08,5.449447780847549e-08,question,"combined,question","{""question"": 5.449447780847549e-08, ""combined"": 5.449447780847549e-08}","[' edition', ' iteration', ' installment', ' inaugural', ' fifth']",2
19,2.4572219699621198e-05,2.4572219699621198e-05,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 2.4572219699621198e-05, ""combined"": 2.4572219699621198e-05}","[' Budgets', ' Budget', 'Budget', ' Budgeting', ' budget']",3
628,1.72607337590307e-05,1.72607337590307e-05,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 1.72607337590307e-05}","[' wind', ' Wind', 'Wind', 'wind', ' winds']",3
455,9.294897317886353e-07,9.294897317886353e-07,question,question,"{""question"": 9.294897317886353e-07}","['goal', 'Goal', ' goal', ' Goal', ' GOAL']",3
131,9.277835488319397e-07,9.277835488319397e-07,combined,combined,"{""combined"": 9.277835488319397e-07}","[' WISH', ' wish', ' Wish', 'Wish', ' dream']",3
603,1.1099688708782196e-07,1.1099688708782196e-07,question,"combined,question","{""question"": 1.1099688708782196e-07, ""combined"": 1.1099688708782196e-07}","[' neighborhoods', ' neighbourhoods', ' suburb', ' neighborhood', ' neighbourhood']",3
250,5.449447780847549e-08,5.449447780847549e-08,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 5.449447780847549e-08}","[' garage', ' Garage', 'Garage', ' garages', ' garagem']",3
83,5.449447780847549e-08,5.449447780847549e-08,question,"combined,question","{""question"": 5.449447780847549e-08, ""combined"": 5.449447780847549e-08}","[' waste', ' WASTE', ' Waste', 'Waste', 'waste']",3
630,4.2676773853600025e-05,4.2676773853600025e-05,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 4.2676773853600025e-05, ""combined"": 4.2676773853600025e-05}","[' images', 'photo', ' photographed', ' Images', 'Images']",4
596,2.1665883250534533e-06,2.1665883250534533e-06,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 2.1665883250534533e-06, ""combined"": 2.1665883250534533e-06}","[' characters', ' Characters', 'tagHelperRunner', ' franchise', ' Franchise']",4
759,1.0451478883624077e-06,1.0451478883624077e-06,combined,combined,"{""combined"": 1.0451478883624077e-06}","[' Athletes', ' athletes', 'Players', 'Athlete', ' Athlete']",4
58,3.9992551319301126e-07,3.9992551319301126e-07,question,"combined,question","{""question"": 3.9992551319301126e-07, ""combined"": 3.9992551319301126e-07}","[' chakras', 'Revenir', ' aromatherapy', 'thyst', 'Wy']",4
275,1.6819755546748639e-07,1.6819755546748639e-07,question,"combined,question","{""question"": 1.6819755546748639e-07, ""combined"": 1.6819755546748639e-07}","[' containers', ' tableware', ' bowls', ' container', ' bowl']",4
242,1.6819755546748639e-07,1.6819755546748639e-07,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 1.6819755546748639e-07, ""combined"": 1.6819755546748639e-07}","[' scores', ' score', ' questionnaire', ' scoring', ' scale']",4
387,5.449447780847549e-08,5.449447780847549e-08,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 5.449447780847549e-08}","[' coins', ' Coins', '+#+#', ' issued', ' Coin']",4
