cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
33,par / far / core,"par, far, core",1,0.006793524667620659,0.006793524667620659,359,0.006793524667620659,combined," ,  far, core, ::,  par",[359]
29,global / worldwide / weltweit,"global, worldwide, weltweit, globally",1,0.001154655985534191,0.001154655985534191,229,0.001154655985534191,"combined,question"," global,  worldwide,  globally,  weltweit, global",[229]
35,Everything / everything / enterOuterAlt,"Everything, everything, enterOuterAlt, Bronnen",1,0.0008175585046410561,0.0008175585046410561,383,0.0008175585046410561,"clar_vocab2,combined"," everything, enterOuterAlt,  Everything, Everything, Bronnen",[383]
22,système / system / systeem,"système, system, systeem, ssystem, sistema",1,0.000234923692420125,0.000234923692420125,688,0.000234923692420125,"clar_vocab2,combined"," system,  système,  systeem,  sistema, ssystem",[688]
18,now / Now / ahora,"now, Now, ahora",1,7.842666050419211e-05,7.842666050419211e-05,591,7.842666050419211e-05,"clar_vocab2,combined"," now,  Now, Now, now,  ahora",[591]
24,Philippine / Philippines / Filipinos,"Philippine, Philippines, Filipinos, Filipino",1,4.745042603462934e-05,4.745042603462934e-05,33,4.745042603462934e-05,"combined,question"," Philippine,  Philippines,  Filipino, Philippine,  Filipinos",[33]
30,Images / photographed / photo,"Images, photographed, photo, images",1,4.2676773853600025e-05,4.2676773853600025e-05,630,4.2676773853600025e-05,"clar_vocab2,combined"," images, photo,  photographed,  Images, Images",[630]
25,pesky / ongoing / Ongoing,"pesky, ongoing, Ongoing, Displayed",1,2.2506345994770524e-05,2.2506345994770524e-05,322,2.2506345994770524e-05,"combined,question"," ongoing,  Ongoing, 된, Displayed,  pesky",[322]
26,wind / Wind / winds,"wind, Wind, winds",1,1.72607337590307e-05,1.72607337590307e-05,628,1.72607337590307e-05,clar_vocab2," wind,  Wind, Wind, wind,  winds",[628]
32,project / mitigation / mapStateToProps,"project, mitigation, mapStateToProps, decision, consultants",1,1.1427799006924033e-05,1.1427799006924033e-05,94,1.1427799006924033e-05,"combined,question"," mitigation, mapStateToProps,  decision,  consultants,  project",[94]
27,optimum / optimize / optimale,"optimum, optimize, optimale, optimal, Optimal",1,5.607719067484141e-06,5.607719067484141e-06,666,5.607719067484141e-06,"clar_vocab2,combined"," optimal,  optimum,  Optimal,  optimize,  optimale",[666]
14,muerte / mourut / died,"muerte, mourut, died, death, Death",1,2.3439060896635056e-06,2.3439060896635056e-06,376,2.3439060896635056e-06,"combined,question"," death,  died,  mourut,  muerte,  Death",[376]
11,pcl / easily / clearly,"pcl, easily, clearly, <strong>, <code>",1,1.5167468227446079e-06,1.5167468227446079e-06,348,1.5167468227446079e-06,"combined,question"," clearly,  easily, <strong>, pcl, <code>",[348]
12,walkthrough / rinth / oa̍t,"walkthrough, rinth, oa̍t, ksamkeit, gebung",1,7.562092505395412e-07,7.562092505395412e-07,671,7.562092505395412e-07,clar_vocab2," walkthrough, ksamkeit, gebung, rinth, oa̍t",[671]
21,weighted / factor / doPost,"weighted, factor, doPost, Panamoan",1,6.908392533659935e-07,6.908392533659935e-07,247,6.908392533659935e-07,combined," weighted,  factor, Panamoan,  <<<<<<<<<<<<<<, doPost",[247]
17,Above / above / ThemeOverlay,"Above, above, ThemeOverlay, FormTagHelper",1,5.178549326956272e-07,5.178549326956272e-07,176,5.178549326956272e-07,"clar_vocab2,combined"," Above, FormTagHelper, Above, above, ThemeOverlay",[176]
34,thyst / chakras / aromatherapy,"thyst, chakras, aromatherapy, Wy, Revenir",1,3.9992551319301126e-07,3.9992551319301126e-07,58,3.9992551319301126e-07,"combined,question"," chakras, Revenir,  aromatherapy, thyst, Wy",[58]
10,scoring / scores / score,"scoring, scores, score, scale, questionnaire",1,1.6819755546748639e-07,1.6819755546748639e-07,242,1.6819755546748639e-07,"clar_vocab2,combined"," scores,  score,  questionnaire,  scoring,  scale",[242]
28,brew / attn / ATT,"brew, attn, ATT",1,5.514943040907383e-08,5.514943040907383e-08,211,5.514943040907383e-08,"clar_vocab2,combined,question",", attn, ­, brew, ATT",[211]
