feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
560,2.5731492787599565e-06,2.5731492787599565e-06,question,"combined,question","{""question"": 2.5731492787599565e-06, ""combined"": 2.5731492787599565e-06}","[' impra', ' affor', ' unden', ' scrat', ' unlaw']",3
675,5.373288877308369e-07,5.373288877308369e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 5.373288877308369e-07, ""question"": 5.373288877308369e-07, ""combined"": 5.373288877308369e-07}","[' Heber', ' Glou', ' McDon', ' Rine', ' Burnet']",3
68,2.9270187951624393e-07,2.9270187951624393e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.9270187951624393e-07, ""question"": 2.9270187951624393e-07, ""combined"": 2.9270187951624393e-07}","[' new', ' NEW', 'new', ' New', 'New']",3
428,9.806500747799874e-08,9.806500747799874e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 9.806500747799874e-08, ""question"": 9.806500747799874e-08, ""combined"": 9.806500747799874e-08}","[' sophistic', ' shenan', ' reluct', ' snoopy', ' unspeak']",3
284,9.732414036989212e-08,9.732414036989212e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 9.732414036989212e-08, ""question"": 9.732414036989212e-08, ""combined"": 9.732414036989212e-08}","[' disreg', ' encomp', ' embodi', ' maneu', ' inappro']",3
410,4.70341183245182e-08,4.70341183245182e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 4.70341183245182e-08, ""question"": 4.70341183245182e-08, ""combined"": 4.70341183245182e-08}","[' shenan', ' unlaw', ' apprehen', ' intersper', ' disagre']",3
3,4.68201469630003e-08,4.68201469630003e-08,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.68201469630003e-08}","[' shenan', ' depic', ' hairc', ' maneu', ' snoopy']",3
620,3.9574690163135524e-08,3.9574690163135524e-08,question,"combined,question","{""question"": 3.9574690163135524e-08, ""combined"": 3.9574690163135524e-08}","[' quæ', ' unlaw', ' unwarran', ' liberality', ' shewn']",3
320,0.03579600048065185,0.03579600048065185,question,"combined,question","{""question"": 0.03579600048065185, ""combined"": 0.03579600048065185}","['”', '""', '"":', '</em>', '"",']",4
210,1.3828044990077614e-05,1.3828044990077614e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 1.3828044990077614e-05, ""question"": 1.3828044990077614e-05, ""combined"": 1.3828044990077614e-05}","[' yourself', 'Билгалдахарш', ' your', ' personally', 'สึก']",4
397,6.908359006047249e-06,6.908359006047249e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 6.908359006047249e-06, ""question"": 6.908359006047249e-06, ""combined"": 6.908359006047249e-06}","[' ever', ' CreateTagHelper', 'bootstrapcdn', ' EVER', 'SourceChecksum']",4
