cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
12,cited / b / almofada,"cited, b, almofada, actualidad, a, UnusedPrivate, EndContext, ArgsConstructor",2,2.5231626350432634e-06,4.9958808813244105e-06,248,4.9958808813244105e-06,"clar_vocab2,combined,question","EndContext, UnusedPrivate,  actualidad, ArgsConstructor,  almofada","[248, 581]"
1,tampa / muscle / Tampa,"tampa, muscle, Tampa, Muscle, bodybuilding, Hillsborough",2,8.30052886158228e-07,1.2111933901906014e-06,413,1.2111933901906014e-06,clar_vocab2," bodybuilding,  muscle, muscle,  Muscle, Muscle","[413, 309]"
17,upstairs / streets / street,"upstairs, streets, street, narrow, floors, floor, downstairs, alleys",2,7.784448098391294e-08,1.0524457320570946e-07,59,1.0524457320570946e-07,"clar_vocab2,combined,question"," alley,  street,  narrow,  alleys,  streets","[59, 769]"
58,yet / highly / colourful,"yet, highly, colourful",1,0.9975546970367432,0.9975546970367432,52,0.9975546970367432,"clar_vocab2,combined,question",",, 、,  highly,  yet,  colourful",[52]
72,,,1,0.9550743942260742,0.9550743942260742,720,0.9550743942260742,"clar_vocab2,combined,question"," {, ({, {,  {',  {""",[720]
59,effects / effect / Effect,"effects, effect, Effect",1,0.14782541608810426,0.14782541608810426,809,0.14782541608810426,"clar_vocab2,combined"," effect, effect,  effects, Effect, effects",[809]
77,freedom / freely / free,"freedom, freely, free, Freedom",1,0.0996085968017578,0.0996085968017578,459,0.0996085968017578,"combined,question"," freedom, freedom,  free,  freely,  Freedom",[459]
51,Florida / Colorado / Chicago,"Florida, Colorado, Chicago, California, Arizona",1,0.08135890984535218,0.08135890984535218,84,0.08135890984535218,"clar_vocab2,combined"," Florida,  California,  Chicago,  Colorado,  Arizona",[84]
75,case / casos / caso,"case, casos, caso, cases",1,0.07751374006271362,0.07751374006271362,421,0.07751374006271362,clar_vocab2," case,  cases,  caso,  casos, case",[421]
76,vacant / missing / empty,"vacant, missing, empty, emptied, Empty",1,0.052855619430542,0.052855619430542,130,0.052855619430542,"clar_vocab2,combined,question"," empty,  vacant,  missing,  emptied,  Empty",[130]
57,translation / translating / translated,"translation, translating, translated, translate, Translation",1,0.029936925530433655,0.029936925530433655,196,0.029936925530433655,"combined,question"," translation,  translate,  translated,  translating,  Translation",[196]
64,utilice / upon / mektedir,"utilice, upon, mektedir, Upon, UPON",1,0.0021797588467597964,0.0021797588467597964,110,0.0021797588467597964,"clar_vocab2,combined,question"," upon,  UPON,  Upon, mektedir,  utilice",[110]
70,President / Obama / LeBron,"President, Obama, LeBron, Elon, Barack",1,0.0015484524965286256,0.0015484524965286256,764,0.0015484524965286256,"combined,question"," Barack,  Obama,  LeBron,  President,  Elon",[764]
73,transfer / Transfer / transferência,"transfer, Transfer, transferência",1,0.0011232177019119263,0.0011232177019119263,424,0.0011232177019119263,clar_vocab2," transfer, transfer,  Transfer, Transfer,  transferência",[424]
63,Tell / tell / tale,"Tell, tell, tale, TELL",1,0.0007026795111596584,0.0007026795111596584,294,0.0007026795111596584,"clar_vocab2,combined,question"," tell, Tell, tale,  Tell,  TELL",[294]
48,dis / Dis / DIS,"dis, Dis, DIS",1,0.00043496263679116965,0.00043496263679116965,184,0.00043496263679116965,"clar_vocab2,combined,question"," dis,  Dis, Dis, dis,  DIS",[184]
55,bug / Bug / BUG,"bug, Bug, BUG",1,0.00034246697556227445,0.00034246697556227445,111,0.00034246697556227445,clar_vocab2," Bug,  BUG, Bug,  bug, bug",[111]
74,verbs / verb / noun,"verbs, verb, noun, adverb, adjective",1,7.119554001837969e-05,7.119554001837969e-05,50,7.119554001837969e-05,"combined,question"," verb,  verbs,  noun,  adjective,  adverb",[50]
46,Ig / rig / ig,"Ig, rig, ig, Ign",1,5.367812421172857e-05,5.367812421172857e-05,582,5.367812421172857e-05,"clar_vocab2,combined,question"," Ig,  ig, Ign,  rig, Ig",[582]
66,love / precious / loving,"love, precious, loving, loves",1,4.46201884187758e-05,4.46201884187758e-05,735,4.46201884187758e-05,clar_vocab2," loving,  love,  loves, love,  precious",[735]
62,Dataset / datasets / dataset,"Dataset, datasets, dataset",1,4.205192299559712e-05,4.205192299559712e-05,247,4.205192299559712e-05,clar_vocab2," dataset,  datasets,  Dataset, 数据集, Dataset",[247]
56,nong / GHS / GH,"nong, GHS, GH, GG, GF",1,3.098681708797813e-05,3.098681708797813e-05,355,3.098681708797813e-05,"combined,question"," GG,  nong,  GHS,  GF,  GH",[355]
49,sleep / Sleep / SLEEP,"sleep, Sleep, SLEEP",1,2.7870605466887353e-05,2.7870605466887353e-05,530,2.7870605466887353e-05,"clar_vocab2,combined,question"," sleep,  Sleep, Sleep, sleep,  SLEEP",[530]
69,,,1,2.453344454988837e-05,2.453344454988837e-05,405,2.453344454988837e-05,"combined,question","!),,  ?), ?),, !), !!)",[405]
61,tomorrow / organise / mobilisation,"tomorrow, organise, mobilisation, civilisation, authorisation",1,1.030946709215641e-05,1.030946709215641e-05,256,1.030946709215641e-05,"combined,question"," tomorrow,  mobilisation,  organise,  civilisation,  authorisation",[256]
67,class / sınıf / nonUne,"class, sınıf, nonUne",1,2.8088875114917755e-06,2.8088875114917755e-06,638,2.8088875114917755e-06,"clar_vocab2,combined,question"," class,  nonUne, class,  sınıf, }`}",[638]
42,ungsver / theil / nachher,"ungsver, theil, nachher, halter, AutoScaleMode",1,2.2773358505219222e-06,2.2773358505219222e-06,337,2.2773358505219222e-06,"clar_vocab2,combined,question","AutoScaleMode,  nachher, ungsver, halter, theil",[337]
47,rights / all / Rights,"rights, all, Rights, Distributed, All",1,1.920238137245178e-06,1.920238137245178e-06,614,1.920238137245178e-06,"clar_vocab2,combined,question"," rights,  all,  All,  Rights,  Distributed",[614]
44,behaviour / behavioral / behavior,"behaviour, behavioral, behavior, Behavior, BEHAVIOR",1,1.8018102273344992e-06,1.8018102273344992e-06,242,1.8018102273344992e-06,"clar_vocab2,combined,question"," behavior,  behaviour,  Behavior,  BEHAVIOR,  behavioral",[242]
60,stamp / Unix / unix,"stamp, Unix, unix",1,9.171441197395324e-07,9.171441197395324e-07,177,9.171441197395324e-07,"clar_vocab2,combined,question"," Unix,  unix,  stamp, stamp, Unix",[177]
45,promotions / promotion / discounts,"promotions, promotion, discounts, discounted, discount",1,7.99583736807108e-07,7.99583736807108e-07,397,7.99583736807108e-07,question," discount,  discounts,  promotions,  promotion,  discounted",[397]
71,evolved / evolutionary / evolution,"evolved, evolutionary, evolution, Evolutionary, Darwin",1,3.9090937934815883e-07,3.9090937934815883e-07,290,3.9090937934815883e-07,"combined,question"," evolutionary,  evolution,  Evolutionary,  evolved,  Darwin",[290]
23,Quebec / Montreal / québéco,"Quebec, Montreal, québéco",1,3.3316249027848244e-07,3.3316249027848244e-07,612,3.3316249027848244e-07,"clar_vocab2,combined,question"," Montreal,  Quebec, Montreal, Quebec,  québéco",[612]
41,namely / nämlich / namelijk,"namely, nämlich, namelijk, Namely",1,3.328048624098301e-07,3.328048624098301e-07,70,3.328048624098301e-07,clar_vocab2," Namely,  namely,  nämlich, namely,  namelijk",[70]
22,zentral / midfielder / midfield,"zentral, midfielder, midfield, middle, central",1,2.182070165872574e-07,2.182070165872574e-07,233,2.182070165872574e-07,"clar_vocab2,combined,question"," midfield,  midfielder,  middle,  zentral,  central",[233]
39,,,1,2.176845446228981e-07,2.176845446228981e-07,678,2.176845446228981e-07,question,"()., ("""")., ).,  ()., ++.",[678]
30,öss / initComponents / expandindo,"öss, initComponents, expandindo, classmethod",1,1.5249685384333135e-07,1.5249685384333135e-07,163,1.5249685384333135e-07,combined,"öss, expandindo, ________________,  initComponents, classmethod",[163]
53,nahilalakip / fjspx / bcryptjs,"nahilalakip, fjspx, bcryptjs, bcrypt, PasswordEncoder",1,5.144556052982807e-08,5.144556052982807e-08,402,5.144556052982807e-08,"combined,question","bcryptjs,  bcrypt, fjspx, PasswordEncoder,  nahilalakip",[402]
35,Council / councils / Councils,"Council, councils, Councils, COUNCIL",1,5.133659578859806e-08,5.133659578859806e-08,504,5.133659578859806e-08,"clar_vocab2,combined,question","Council,  Councils,  Council,  COUNCIL,  councils",[504]
33,tk / ttk / tkinter,"tk, ttk, tkinter, Tk",1,5.044438876211643e-08,5.044438876211643e-08,635,5.044438876211643e-08,"clar_vocab2,combined"," tkinter,  tk,  Tk, tk,  ttk",[635]
43,ISSN / amada / africains,"ISSN, amada, africains",1,5.044438876211643e-08,5.044438876211643e-08,251,5.044438876211643e-08,clar_vocab2," ISSN,  africains, ISSN,  amada, Дереккөздер",[251]
50,Tom / insuffisamment / informée,"Tom, insuffisamment, informée, Aquinas",1,5.044438876211643e-08,5.044438876211643e-08,419,5.044438876211643e-08,clar_vocab2,"Tom,  Aquinas,  informée,  Tom,  insuffisamment",[419]
68,turns / curves / curve,"turns, curves, curve, bends, bend",1,5.044438876211643e-08,5.044438876211643e-08,551,5.044438876211643e-08,"clar_vocab2,combined,question"," bends,  bend,  curves,  curve,  turns",[551]
